48, cases, total, 17786
48, deaths, new, None
48, deaths, 1M_pop, 13
48, deaths, total, 125
48, tests, 1M_pop, None
48, tests, total, None
48, day, 2024-03-25
48, time, 2024-03-25T09:45:15+00:00
49, continent, Africa
49, country, Equatorial-Guinea
49, population, 1496662
49, cases, new, +7
49, cases, active, 139
49, cases, critical, 5
49, cases, recovered, 16907
49, cases, 1M_pop, 11512
49, cases, total, 17229
49, deaths, new, None
49, deaths, 1M_pop, 122
49, deaths, total, 183
49, tests, 1M_pop, 244342
49, tests, total, 365697
49, day, 2024-03-25
49, time, 2024-03-25T09:45:15+00:00
50, continent, Africa
50, country, Somalia
50, population, 16841795
50, cases, new, +10
50, cases, active, 12791
50, cases, critical, None
50, cases, recovered, 13182
50, cases, 1M_pop, 1623
50, cases, total, 27334
50, deaths, new, None
50, deaths, 1M_pop, 81
50, deaths, total, 1361
50, tests, 1M_pop, 23778
50, tests, total, 400466
50, day, 2024-03-25
50, time, 2024-03-25T09:45:15+00:00
51, continent, North-America
51, country, Bermuda
51, population, 61939
51, cases, new, +11
51, cases, active, 10
51, cases, critical, None
51, cases, recovered, 18685
51, cases, 1M_pop, 304493
51, cases, total, 18860
51, deaths, new, +2
51, deaths, 1M_pop, 2664
51, deaths, total, 165
51, tests, 1M_pop, 16622128
51, tests, total, 1029558
51, day, 2024-03-25
51, time, 2024-03-25T09:45:15+00:00
52, continent, North-America
52, country, Grenada
52, population, 113475
52, cases, new, +10
52, cases, active, 97
52, cases, critical, 4
52, cases, recovered, 19358
52, cases, 1M_pop, 173545
52, cases, total, 19693
52, deaths, new, None
52, deaths, 1M_pop, 2097
52, deaths, total, 238
52, tests, 1M_pop, 1612523
52, tests, total, 182981
52, day, 2024-03-25
52, time, 2024-03-25T09:45:15+00:00
53, continent, Asia
53, country, Timor-Leste
53, population, 1369429
53, cases, new, None
53, cases, active, 220
53, cases, critical, None
53, cases, recovered, 23102
53, cases, 1M_pop, 17131
53, cases, total, 23460
53, deaths, new, None
53, deaths, 1M_pop, 101
53, deaths, total, 138
53, tests, 1M_pop, 203391
53, tests, total, 278529
53, day, 2024-03-25
53, time, 2024-03-25T09:45:15+00:00
54, continent, Africa
54, country, Benin
54, population, 12784726
54, cases, new, None
54, cases, active, 26
54, cases, critical, None
54, cases, recovered, 27847
54, cases, 1M_pop, 2193
54, cases, total, 28036
54, deaths, new, None
54, deaths, 1M_pop, 13
54, deaths, total, 163
54, tests, 1M_pop, 47268
54, tests, total, 604310
54, day, 2024-03-25
54, time, 2024-03-25T09:45:15+00:00
55, continent, Europe
55, country, Gibraltar
55, population, 33704
55, cases, new, None
55, cases, active, None
55, cases, critical, None
55, cases, recovered, None
55, cases, 1M_pop, 609720
55, cases, total, 20550
55, deaths, new, None
55, deaths, 1M_pop, 3353
55, deaths, total, 113
55, tests, 1M_pop, 15852213
55, tests, total, 534283
55, day, 2024-03-25
55, time, 2024-03-25T09:45:15+00:00
56, continent, Oceania
56, country, Micronesia
56, population, 117489
56, cases, new, None
56, cases, active, None
56, cases, critical, None
56, cases, recovered, None
56, cases, 1M_pop, 225953
56, cases, total, 26547
56, deaths, new, None
56, deaths, 1M_pop, 553
56, deaths, total, 65
56, tests, 1M_pop, 701598
56, tests, total, 82430
56, day, 2024-03-25
56, time, 2024-03-25T09:45:15+00:00
57, continent, Oceania
57, country, Solomon-Islands
57, population, 721159
57, cases, new, None
57, cases, active, None
57, cases, critical, None
57, cases, recovered, None
57, cases, 1M_pop, 35989
57, cases, total, 25954
57, deaths, new, None
57, deaths, 1M_pop, 276
57, deaths, total, 199
57, tests, 1M_pop, None
57, tests, total, None
57, day, 2024-03-25
57, time, 2024-03-25T09:45:15+00:00
58, continent, Europe
58, country, San-Marino
58, population, 34085
58, cases, new, None
58, cases, active, 46
58, cases, critical, None
58, cases, recovered, 26011
58, cases, 1M_pop, 768226
58, cases, total, 26185
58, deaths, new, None
58, deaths, 1M_pop, 3755
58, deaths, total, 128
58, tests, 1M_pop, 5775414
58, tests, total, 196855
58, day, 2024-03-25
58, time, 2024-03-25T09:45:15+00:00
59, continent, Africa
59, country, Burkina-Faso
